cache_hit_tokens,client_wall_ms,generated_tokens,latency_ms,partial_match,prompt_tokens,queue_depth_at_start,request_id,route_cost,route_policy,text,ttft_ms,worker_id
520,377.75937100013834,8,207.71730200067395,False,520,1,f0584edf-57ee-46c5-91e3-21476737a789,520.0,least_queue, 0 req0 variant 0 req,74.84449700132245,worker-0
512,505.9469919979165,8,229.47599300096044,True,520,5,7981b068-bbf0-49eb-84d8-05b5fadb5ec7,520.0,least_queue, 1 req1 variant 1 req,97.92370600189315,worker-0
520,375.9196789978887,8,207.91139499851852,False,520,4,c159bb1e-b56a-4bbd-98d7-a73a6de14fd5,520.0,least_queue, 2 req2 variant 2 req,73.18567900074413,worker-0
520,505.6402070003969,8,224.7479649995512,False,520,6,46c67391-9e7c-4822-b9cc-9509dea014c3,520.0,least_queue, 3 req3 variant 3 req,97.00505699947826,worker-0
512,505.49290499839117,8,226.19086600025184,True,520,7,d09ea7d0-d86d-408c-9bb5-fd52228c1b1e,520.0,least_queue, 4 req4 variant 4 req,96.71107300164294,worker-0
520,375.59928500195383,8,207.36368699726881,False,520,3,d436c58f-537a-430d-9fee-4c81435faebc,520.0,least_queue, 5 req5 variant 5 req,73.44994799859705,worker-0
512,505.2727820002474,8,220.10281899929396,True,520,14,b0d0b8b1-9998-4184-8d73-b172767b66ab,520.0,least_queue, 6 req6 variant 6 req,87.0133270000224,worker-0
520,375.4021669992653,8,205.13249299983727,False,520,2,98e4c037-c7ae-4d1d-8f4f-9508b8e69e07,520.0,least_queue, 7 req7 variant 7 req,73.50911699904827,worker-0
512,505.06998499986366,8,218.97610500309383,True,520,13,699168dc-7607-4bf3-8969-190e58d02a17,520.0,least_queue, 8 req8 variant 8 req,88.02942400143365,worker-0
512,504.9421319999965,8,222.8339089997462,True,520,12,8711b51b-3e9c-45b3-82f7-e683daa54616,520.0,least_queue, 9 req9 variant 9 req,90.2730870002415,worker-0
520,503.76441100161173,8,224.73892099878867,False,520,8,51a7edf5-e2df-48b0-885e-e318df42fc4b,520.0,least_queue, 10 req10 variant ,96.12723999816808,worker-0
512,503.612891996454,8,223.09926099842414,True,520,10,186bfd8e-efe1-45a3-8de9-28193dcd4943,520.0,least_queue, 11 req11 variant ,92.9040150003857,worker-0
520,374.9440939973283,8,219.413397997414,False,520,9,494f8c46-516a-4e49-b4ed-4d45c0c113f8,520.0,least_queue, 12 req12 variant ,94.58379599891487,worker-0
512,503.42206400091527,8,218.15810900079668,True,520,11,c2f248fb-037a-45ff-bd28-3b65dcfc731f,520.0,least_queue, 13 req13 variant ,91.42028099813615,worker-0
520,504.8821010022948,8,209.37593000053312,False,520,15,a3a49169-7cc3-46b2-83d0-9ede256a9dcf,520.0,least_queue, 14 req14 variant ,83.72130000134348,worker-0
512,308.38399500134983,8,189.85133600290283,True,520,0,56d17fda-5e58-4186-8947-9a617cf68584,520.0,least_queue, 15 req15 variant ,66.25064200125053,worker-0
520,398.9608119991317,8,149.31551799963927,False,520,0,e5e4b426-4542-4f69-9de5-b96438ae90b0,-606.4,least_queue, 16 req16 variant ,26.075799996760907,worker-0
512,549.4641969999066,8,164.49410099812667,True,520,3,5d71b3a8-792e-44cd-bc67-c90dbcb0908b,-606.4,least_queue, 0 req17 variant 0,43.66576000029454,worker-0
520,373.5635569973965,8,162.92169299777015,False,520,1,9a80a181-81ee-40c1-9e3f-ea8386d0fb96,-606.4,least_queue, 1 req18 variant 1,41.140730998449726,worker-0
512,548.4604289995332,8,161.25174799890374,True,520,3,6158d37a-0359-4bd4-882c-bf5b5bce5f0a,520.0,least_queue, 2 req19 variant 2,35.88205000050948,worker-1
520,373.26523599767825,8,152.0318570001109,False,520,2,eb26ee81-1ffd-4814-ab84-1a073a0fca0e,-606.4,least_queue, 3 req20 variant 3,29.427440000290517,worker-0
512,548.4856080001919,8,174.76185799750965,True,520,5,337f4e2a-0181-4479-8819-04d7eee2d522,544.0,least_queue, 4 req21 variant 4,52.19814199881512,worker-1
520,416.3141930002894,8,174.34126199805178,False,520,7,b38000c6-e2c1-4ab1-a42a-fc9d3c3ee05a,520.0,least_queue, 5 req22 variant 5,50.42411899921717,worker-1
512,416.0673289989063,8,152.59913400223013,True,520,5,4be9fb81-5f54-42d2-a868-7fd65c7001f6,-510.4,least_queue, 6 req23 variant 6,33.27306400024099,worker-0
520,419.926556001883,8,169.82175699740765,False,520,1,b568673d-7be6-4381-b68e-3a59c0ed5e22,520.0,least_queue, 7 req24 variant 7,43.5009299981175,worker-1
520,419.72416000135127,8,176.69930700139957,False,520,6,59ba3bd4-7b25-4e5a-85e6-48ebd6fbb0aa,544.0,least_queue, 8 req25 variant 8,52.03154000264476,worker-1
512,415.16672800207743,8,170.33784800150897,True,520,9,6e4b3cea-7380-4083-9bc8-1ef74b3f0ff7,544.0,least_queue, 9 req26 variant 9,48.734104002505774,worker-1
520,243.58204499731073,8,162.24491100001615,False,520,0,e6fb115f-1652-47a1-9d9a-c620367a19e2,520.0,least_queue, 10 req27 variant ,33.953212998312665,worker-1
512,418.8253810025344,8,172.7472710008442,True,520,8,b974e85e-541f-4107-9a6d-f9166dc9252c,544.0,least_queue, 11 req28 variant ,49.55826999866986,worker-1
520,415.0301709996711,8,154.32550499826903,False,520,4,8bf9399b-f9c7-4504-be5e-91e795164a5f,-510.4,least_queue, 12 req29 variant ,34.35686299781082,worker-0
520,419.15772299762466,8,163.31876500044018,False,520,4,7765c613-b7a1-43d3-a16f-8ba190826128,520.0,least_queue, 13 req30 variant ,35.460832998069236,worker-1
520,418.10840600010124,8,168.1988939999428,False,520,2,1933fd59-0698-435e-ab27-ef4d1539fa29,520.0,least_queue, 14 req31 variant ,41.06354500254383,worker-1
520,413.7316369997279,8,156.6637610012549,False,520,0,d1462368-b0c4-444c-ba8c-4731bc3918f2,-606.4,least_queue, 15 req32 variant ,32.40515300058178,worker-0
512,508.71736200133455,8,172.2766099992441,True,520,2,f17ce299-061c-4032-8604-07fd0c1beb5f,-606.4,least_queue, 16 req33 variant ,49.75970499799587,worker-0
520,507.9538270001649,8,174.97315700165927,False,520,1,fd253ced-2339-4541-8294-39ef5ce7326c,-606.4,least_queue, 0 req34 variant 0,50.89975900045829,worker-0
512,505.2468840003712,8,172.75863800023217,True,520,3,cd710298-b33e-460a-b40f-a3c1123a0c66,-606.4,least_queue, 1 req35 variant 1,49.44906500168145,worker-0
520,331.9662760004576,8,152.9680420026125,False,520,0,fbaa63b5-616a-42ef-b187-d99330bc8a94,-606.4,least_queue, 2 req36 variant 2,56.37886400290881,worker-1
512,397.9527989977214,8,190.20230600290233,True,520,5,82bb6616-b775-4dee-b3ab-ec36eecf7afc,-582.4,least_queue, 3 req37 variant 3,67.83696099955705,worker-1
512,334.8522899977979,8,161.91564299879246,True,520,2,536ad61a-5a2d-4288-a166-d8cbb350343f,-582.4,least_queue, 4 req38 variant 4,47.24098600127036,worker-1
