cache_hit_tokens,client_wall_ms,generated_tokens,latency_ms,partial_match,prompt_tokens,queue_depth_at_start,request_id,route_cost,route_policy,text,ttft_ms,worker_id
512,1235.5294269509614,64,1186.0524620860815,True,576,0,c84388fe-02ae-41d3-96f7-edd0dd3a1cab,-960.0,round_robin, variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req,31.439265003427863,worker-0
512,1223.3596220612526,64,1183.307260973379,True,576,0,58ed5c2b-dff3-4f97-a44d-cee77b262a5a,-960.0,round_robin, variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req,34.13610998541117,worker-1
512,1298.437740886584,64,1200.789722148329,True,576,6,3581c631-d228-4a02-b281-179cfc80844c,-952.0,round_robin, variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req,115.60592614114285,worker-0
512,1299.7386360075325,64,1212.2652020771056,True,576,5,4c3e5b98-601c-49bb-96bc-676773930fe2,-952.0,round_robin, variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req,126.48095609620214,worker-1
512,1279.8393219709396,64,1185.758015839383,True,576,2,3d9bd58e-400b-4c4d-9c66-92075e09b3eb,-952.0,round_robin, variant 10 req44 variant 10 req44 variant 10 req44 variant 10 req44 variant 10 req44 variant 10 req44 variant 10 req44 variant 10 req44 variant 10 req44 variant,49.33886183425784,worker-0
512,1278.1952458899468,64,1192.4344438593835,True,576,1,261b3e74-dce0-469d-8009-e2b58bead536,-952.0,round_robin, variant 11 req45 variant 11 req45 variant 11 req45 variant 11 req45 variant 11 req45 variant 11 req45 variant 11 req45 variant 11 req45 variant 11 req45 variant,54.730541072785854,worker-0
512,1299.1907380055636,64,1202.4661991745234,True,576,3,ff8d916d-a00c-48a4-8667-72c93dcf96ea,-952.0,round_robin, variant 12 req46 variant 12 req46 variant 12 req46 variant 12 req46 variant 12 req46 variant 12 req46 variant 12 req46 variant 12 req46 variant 12 req46 variant,118.5680830385536,worker-0
512,1298.7971680704504,64,1201.2683129869401,True,576,7,91f641d5-43fb-4a0f-995e-2ec8353e9ca1,-952.0,round_robin, variant 13 req47 variant 13 req47 variant 13 req47 variant 13 req47 variant 13 req47 variant 13 req47 variant 13 req47 variant 13 req47 variant 13 req47 variant,114.82859309762716,worker-0
512,1278.8707320578396,64,1199.8342629522085,True,576,4,590d4f2e-a0e0-4cdc-845f-394d302d104e,-952.0,round_robin, variant 14 req48 variant 14 req48 variant 14 req48 variant 14 req48 variant 14 req48 variant 14 req48 variant 14 req48 variant 14 req48 variant 14 req48 variant,117.29352991096675,worker-0
512,1314.3546488136053,64,1216.8447540607303,True,576,4,e20675ef-ee66-440b-aa25-25e86053f16b,-952.0,round_robin, variant 15 req49 variant 15 req49 variant 15 req49 variant 15 req49 variant 15 req49 variant 15 req49 variant 15 req49 variant 15 req49 variant 15 req49 variant,128.91078903339803,worker-1
